id,name,rating,reviews,address,location_query,weighted_rating
ejrPbO76QYDz3zERuWom6A,Chef Jillian Love,5.0,11,"Woodside, CA 94062","Woodside, CA",4.719663978494624
nse5RY0nkDfNgV5rW3m8bw,Småstad Coffee Roasters,4.8,38,"981 Broadway Sonoma, CA 95476","Sonoma, CA",4.718936274509804
-XN7dBcSqn2Yal6DMqpQ_Q,Local Spicery,4.8,38,"80 Main St Tiburon, CA 94920","Belvedere, CA",4.718936274509804
wwh3hZelOx9ScskpFJKZOA,Magical Box,4.8,36,"2086 Newpark Mall Newark, CA 94560","Newark, CA",4.714933127572015
OuMov42aVV-xKsQq1q8BWA,A Steep In Time,4.8,34,"7850 Brentwood Blvd Brentwood, CA 94513","Antioch, CA",4.710514069264069
4eUwHElhcnpWb3_DlhIqXQ,Osprey Café,4.8,34,"39008 CA-299 St Willow Creek, CA 95573","Helena, CA",4.710514069264069
Rmcna5uMxYy8MmP5_vSPtg,Venture Coffee,4.8,33,"16845 Hicks Rd Los Gatos, CA 95032","Los Gatos, CA",4.7081277777777775
7rDAjx-u4J2IGr7_bKdU5Q,Tea Hut,4.8,32,"1801 Shattuck Ave Ste C Berkeley, CA 94709","Berkeley, CA",4.705610730593607
B-APjN-uKse8NdcgkpSfdg,Doctor Bean's Coffee,4.9,15,"400 N McDowell Blvd Petaluma, CA 94954","Petaluma, CA",4.7002457264957265
yqvVafYix1iKkykBCASvEQ,The Mix,4.8,30,"3340 Grand Ave Oakland, CA 94610","Oakland, CA",4.700138888888889
sIiZOHc6sR4jL-9qOm0wyA,Meadowlark Dairy,4.7,3499,"57 W Neal St Pleasanton, CA 94566","Pleasanton, CA",4.699145081109367
YyoNw8g-REGPR8dvXfDyAg,Caffeine,4.8,29,"765 Baywood Dr Ste 145 Petaluma, CA 94954","Petaluma, CA",4.697157960199005
DuC42Y2rYaNMTRwRUCGzoA,Nirvana Soul Coffee,4.7,1012,"315 S 1st St San Jose, CA 95113","San Jose, CA",4.697053410395148
yJ4Zn2bQ103xqRdIf_h61A,States Coffee,4.7,973,"609 Ward St Martinez, CA 94553","Benicia, CA",4.696935848252345
LFEBCjZ-M3XUFJDszYFX6A,Milkbomb Ice Cream,4.7,919,"1717 17th St Ste 105 San Francisco, CA 94103","San Francisco, CA",4.696756677495038
8r4RaK2x5ldi0weC780mXA,MeloMelo Coconut Dessert,4.7,820,"19652 Stevens Creek Blvd Cupertino, CA 95014","Cupertino, CA",4.696367242773398
QCLryOdExq3xzqePXnWxIA,Tong Sui,4.7,709,"265 W Calaveras Blvd Milpitas, CA 95035","Milpitas, CA",4.6958020906330304
qDqq769JYjgKmxKA1VdvsA,Molly Tea,4.7,653,"19110 Stevens Creek Blvd Ste A Cupertino, CA 95014","Campbell, CA",4.695444550063371
kYdVnVQBg5A9D9O5r0nHog,Tong Sui,4.7,591,"540 Bryant St Palo Alto, CA 94301","Atherton, CA",4.694970263084244
AR6oETriEn3MK3MVw2_hOA,It's-It Ice Cream,4.7,567,"865 Burlway Rd Burlingame, CA 94010","Burlingame, CA",4.6947590405366
lK4IeCLPar6hnyse5nz8lQ,The Twins Restaurant,4.7,546,"572 E Cotati Ave Cotati, CA 94931","Rohnert Park, CA",4.694559112927642
bDxviAl1jo5lDDsx-3wTsA,Kopiku Coffee,4.7,497,"1443 Lombard St Ste A San Francisco, CA 94123","San Francisco, CA",4.694027500830841
miIKCMAqgkyb6B_87av_yA,Dead Eye Coffee Bar,4.7,468,"415 Grand Ave Ste 100 South San Francisco, CA 94080","Brisbane, CA",4.693660934744268
XEC1J2KhXKP02VbXXCzU4w,Firehouse Coffee & Tea,4.7,426,"317 Johnson St Sausalito, CA 94965","Belvedere, CA",4.693042489353465
hZtYa-FMKfyXZ2lKRtYjBQ,Slow G's Healthy Eatery,4.7,411,"440 Diablo Rd Danville, CA 94526","Danville, CA",4.692791315683915
TGxYYm4mUtxYktKBmSuOnw,Taste & See Creamery,4.7,404,"1419 Market St Redding, CA 96001","Helena, CA",4.692667788657691
2vDxljc9mq0sh86nqoPiQQ,BurtoNZ bakery,4.7,401,"9076 Brooks Rd S Windsor, CA 95492","Healdsburg, CA",4.692613542951089
WD41mWCzeZBWWqzeBazVhA,Sunshine Smoothies and Coffee,4.7,367,"821 Wilson Ave Vallejo, CA 94590","American Canyon, CA",4.69193752803948
1wBMuYyJ7ajbEFUfwcFhUA,Liled's Candy Kitchen,4.7,363,"1318 Tennessee St Vallejo, CA 94590","American Canyon, CA",4.69184977324263
ZU_g4S4GABXVKscW2m6F9A,Chill Tea and Coffee,4.7,349,"60 Eagle Rock Way Ste A Brentwood, CA 94513","Antioch, CA",4.6915269919849125
qDJbFjtZiNe6C-qRpjF4tQ,Chila-killer Cafe,4.7,346,"5979 Commerce Blvd Ste 3 Rohnert Park, CA 94928","Rohnert Park, CA",4.69145446980504
BPL5B9gu4iHLNbzaJVLAMQ,Butter Pecan Bakeshop,4.7,326,"1889 San Pablo Ave Pinole, CA 94564","Hercules, CA",4.690937342410489
